7,11
19,25
17,33
2,24
12,14
13,28
7,14
17,24
4,24
1,32
1,10
12,30
5,38
23,30
7,23
1,5
15,26
10,36
23,26
12,24
1,18
30,32
14,23
4,14
36,37
19,24
14,25
8,14
3,33
13,32
19,28
19,22
36,38
29,32
20,28
3,6
6,24
7,9
4,6
0,16
16,28
3,4
11,25
19,26
3,21
17,21
10,25
10,18
10,33
2,34
28,35
2,37
28,38
6,20
11,16
20,21
7,32
19,34
4,27
17,26
8,37
5,7
27,37
17,34
18,31
21,37
9,23
23,27
10,37
24,36
16,25
14,19
6,36
22,30
18,35
15,20
29,38
7,12
30,33
13,16
17,19
4,36
9,31
4,8
5,19
5,28
6,16
12,26
12,29
10,27
2,13
16,32
2,28
27,35
18,19
29,37
34,37
1,23
22,25
9,12
17,18
1,34
25,28
26,30
22,34
24,37
1,24
0,24
5,25
31,32
1,36
7,15
26,35
4,5
10,11
3,32
3,28
4,37
8,31
2,8
24,34
2,6
17,32
23,38
10,13
12,35
